UID          PID    PPID  C STIME TTY          TIME CMD
jennifer    1526    1505  0 22:50 ?        00:00:00 ibus-daemon --panel disable --xim
jennifer    1532    1526  0 22:50 ?        00:00:00 /usr/libexec/ibus-memconf
jennifer    1533    1526  0 22:50 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
jennifer    1535    1225  0 22:50 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
jennifer    1537    1225  0 22:50 ?        00:00:00 /usr/libexec/ibus-portal
jennifer    1549    1225  0 22:50 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
jennifer    1552    1225  0 22:50 ?        00:00:00 /usr/libexec/xdg-permission-store
jennifer    1557    1225  0 22:50 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
jennifer    1563    1225  0 22:50 ?        00:00:00 /usr/libexec/evolution-source-registry
jennifer    1572    1225  0 22:50 ?        00:00:00 /usr/libexec/evolution-calendar-factory
jennifer    1582    1225  0 22:50 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
jennifer    1600    1225  0 22:50 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
jennifer    1603    1244  0 22:50 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
jennifer    1620    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-a11y-settings
jennifer    1621    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-color
jennifer    1622    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-datetime
jennifer    1623    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-housekeeping
jennifer    1624    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-keyboard
jennifer    1629    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-media-keys
jennifer    1632    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-power
jennifer    1634    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-print-notifications
jennifer    1637    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-rfkill
jennifer    1639    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
jennifer    1641    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-sharing
jennifer    1647    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-smartcard
jennifer    1651    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-sound
jennifer    1653    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-usb-protection
jennifer    1655    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-wacom
jennifer    1659    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-wwan
jennifer    1664    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-xsettings
jennifer    1683    1225  0 22:50 ?        00:00:00 /usr/libexec/gsd-printer
jennifer    1684    1489  0 22:50 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
jennifer    1692    1489  0 22:50 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
jennifer    1732    1526  0 22:50 ?        00:00:00 /usr/libexec/ibus-engine-simple
jennifer    1831    1225  0 22:50 ?        00:00:00 /usr/libexec/gvfsd-metadata
jennifer    1926    1225  0 22:50 ?        00:00:02 /usr/libexec/gnome-terminal-server
jennifer    1929    1225  0 22:50 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
jennifer    1931    1225  0 22:50 ?        00:00:00 /usr/bin/seahorse --gapplication-service
jennifer    1970    1926  0 22:50 pts/0    00:00:00 bash
jennifer    2013    1489  0 22:51 ?        00:00:00 update-notifier
jennifer    2116    1225  0 22:51 ?        00:00:03 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
jennifer    3973    1505  0 23:01 ?        00:00:02 gnome-control-center
root        3986       2  0 23:01 ?        00:00:00 [kworker/u2:0-events_unbound]
root        4025       2  0 23:09 ?        00:00:00 [kworker/u2:2-events_power_efficient]
jennifer    4290    1970  0 23:15 pts/0    00:00:00 ps -ef
